location,date,starting_time,title,link
"Kungstensgatan 45, 10239 Stockholm",2019-11-13,18:00:00,Crash course i sociala medier,http://www.folkuniversitetet.se/Kurser--Utbildningar/Data-IT/Ovrig-datakunskap/Stockholm/crash-course-i-sociala-medier/
"Kungstensgatan 45, 10239 Stockholm",2019-11-18,18:00:00,Appar och digitala verktyg för jobbet,http://www.folkuniversitetet.se/Kurser--Utbildningar/Personal-Ledarskap-HR/Arbetsliv/Stockholm/appar-och-digitala-verktyg-for-jobbet/
Bagarmossens Bibliotek,2019-11-19,18:00:00,Filosofikafé Tema: Vad är ett autentiskt liv?,https://abfstockholm.se/evenemang/vad-ar-ett-autentiskt-liv/
"ABF-huset, Sveavägen 41",2019-11-23,11:00:00,SOCFORUM 2019 • Rörelsen,https://abfstockholm.se/evenemang/socforum-2019/
"Bio Rio, salong 1",2019-11-23,19:00:00,Live på bio: MET – Akhnaten,https://abfstockholm.se/evenemang/live-pa-bio-met-akhnaten/
"Bio Rio, salong 1",2019-11-25,14:00:00,Live på bio: MET – Akhnaten,https://abfstockholm.se/evenemang/live-pa-bio-met-akhnaten/
"Aspuddens Bibliotek, Galleri Hades",2019-11-25,17:30:00,Filosofikafé Tema: Folktro,https://abfstockholm.se/evenemang/tema-folktro/
"ABF-huset, Sveavägen 41",2019-11-25,18:15:00,Konsumentmakt,https://abfstockholm.se/evenemang/konsumentmakt/
" ABF-huset, Sveavägen 41, scen Hjärtat, entréplan",2019-11-25,18:15:00,Statsvetare pratar politik: Konsumentmakt,https://www.statsvet.su.se/om-oss/evenemang/statsvetare-pratar-politik/statsvetare-pratar-politik-konsumentmakt-1.441887
"Bio Rio, salong 1",2019-11-26,18:00:00,Live på bio: MET – Akhnaten,https://abfstockholm.se/evenemang/live-pa-bio-met-akhnaten/
"ABF-huset, Sveavägen 41",2019-11-26,18:00:00,Röd solidaritet: kommunistisk flyktinghjälp i Stockholm i Nazi-Tysklands skugga,https://www.historia.su.se/om-oss/evenemang/historia-100-%C3%A5r/r%C3%B6d-solidaritet-kommunistisk-flyktinghj%C3%A4lp-i-stockholm-i-nazi-tysklands-skugga-1.437070
Stockholms universitet,2019-11-27,09:00:00,27-29/11: Media-Archaeological Research and Artistic Practice,https://www.su.se/ike/om-oss/evenemang/media-archaeological-research-and-artistic-practice-1.433422
"Kungstensgatan 45, 10239 Stockholm",2019-11-27,18:00:00,Döden - den stora gåtan,http://www.folkuniversitetet.se/Kurser--Utbildningar/Halsa-Friskvard/Friskvard/livsstil-livsfragor-friskvard/Stockholm/doden---den-stora-gatan/
